Point,Fokontany,Commune,District,Region
67 Ha 10 V,67ha Avaratra Andrefana,1er Arrondissement,1er Arrondissement,Analamanga
Abahimpo 10 B,Ambilomaro,Ambohimanambola,Betafo,Vakinankaratra
Abeamalo 10 A,Miary Centre,Ankazoabo Sud,Ankazoabo,Atsimo Andrefana
Abedinta 10 B,Andasibe Avaratra,Ambatolaona,Manjakandriana,Analamanga
Abehazo 10 A,Ambalamanga,Masoarivo,Antsalova,Melaky
Abekitrana 10 A,Sahavanana,Maroseranana,Brickaville,Atsinanana
Abetrabatra 10 B,Ambodilazana,Ambodilazana,Toamasina II,Atsinanana
Abevola 10 A,Ambodimolaina,Anivorano Est,Brickaville,Atsinanana
Abinaninitsarabanjina 10 C,Malamamaina,Ankarongana,Befandriana Nord,Sofia
Abobono 10 A,Andolobe,Soaloka,Miandrivazo,Menabe
Abohidavakely 10 C,Andilanomby,Manakambahiny Andrefana,Ambatondrazaka,Alaotra Mangoro
Abomary 10 E,Anezandava,Matanga,Vangaindrano,Atsimo Atsinanana
Abomary 11 F,Beteny,Ankarana Miraihina,Farafangana,Atsimo Atsinanana
Aborano 10 A,Vohitsoa,Tsianofana,Vangaindrano,Atsimo Atsinanana
Aborano 11 B,Ankerabe Nord,Berevo/ranobe,Maintirano,Melaky
Aborano 12 C,Anjaloaky,Anontsibe Centre,Manja,Menabe
Aborano 13 C,Bevahy,Ambia,Mahabo,Menabe
Aborano 14 D,Mandabe,Mandabe,Mahabo,Menabe
Aborano 15 E,Soatanana,Mikoboka,Sakaraha,Atsimo Andrefana
Aboronga 10 B,Tanambao II,Ampataka,Vangaindrano,Atsimo Atsinanana
Aborotsy 10 A,Milomboke,Ankazombalala,Betioky Atsimo,Atsimo Andrefana
Aborotsy 11 C,Tanandava Ifantso,Miary Taheza,Sakaraha,Atsimo Andrefana
Abotsy 10 C,Sahalampona,Fetraomby,Brickaville,Atsinanana
Abozoma A 10,Tsararano,Iara,Vangaindrano,Atsimo Atsinanana
Adabe 10 D,Fihasinana,Solila,Ikalamavony,Haute Matsiatra
Adabo 10 D,Manara,Ambinaniroa,Ambalavao,Haute Matsiatra
Adabodo 10 D,Adabodo,Vatolatsaka,Betioky Atsimo,Atsimo Andrefana
Adabofolo 10 B,Adabofolo,Bereketa,Sakaraha,Atsimo Andrefana
Adabolava 10 B,Bebaboka Sud,Bebaboky Sud,Maintirano,Melaky
Adabolava 11 B,Bemarivo,Bemarivo,Ambatomainty,Melaky
Adaboloaky 10 B,Antsavoa,Anontsibe Centre,Manja,Menabe
Adabomahebo 10 B,Ambohibary,Itondy,Miandrivazo,Menabe
Adabomionga 10 B,Kiliarivo Sakaraha,Sakaraha,Sakaraha,Atsimo Andrefana
Adaboroy 10 B,Andanoa,Fitampito,Ikalamavony,Haute Matsiatra
Adabotelo 10 C,Mandabe Manatsahala,Mandrosonoro,Ambatofinandrahana,Amoron I Mania
Adabotokana 10 C,Bemarivo,Bemarivo,Ambatomainty,Melaky
Adabotokana 11 C,Tanambao,Ambatomainty,Ikalamavony,Haute Matsiatra
Adabotokana 12 I,Antanamazava Gvt,Mantaly,Ambilobe,Diana
Adabozato 10 V,Adabozato,Isalo,Miandrivazo,Menabe
Adalavoky 10 B,Soafierenana,Anosiarivo Manapa,Betafo,Vakinankaratra
Adambomitro 10 A,Betioky,Ambohimalaza,Ambovombe-Androy,Androy
Adilambola A 10,Antanandava,Antenina,Soanierana Ivongo,Analanjirofo
Adilamena 10 B,Betaikankana,Ambodiampana,Bealanana,Sofia
Adranomangarangarana A 10,Ambodijoho,Soakibany,Midongy-Atsimo,Atsimo Atsinanana
Adriamora 10 C,Andriamora,Iakora,Iakora,Ihorombe
Afaho 10 D,Afaho,Amboditavolo,Vatomandry,Atsinanana
Afandrinatody 10 B,Ambodimanga,Ambohibary,Moramanga,Alaotra Mangoro
Afarisoky 10 B,Bevantaza,Befasy,Morondava,Menabe
Afidasiana 10 G,Amboangivy,Ambohimasina,Arivonimamo,Itasy
Agnanivo 10 A,Betioky,Ambohimalaza,Ambovombe-Androy,Androy
Ahafano 10 D,Ankarahara,Ambohibary,Moramanga,Alaotra Mangoro
Ahamazina 10 A,Befotsy,Ambohibary,Moramanga,Alaotra Mangoro
Ahara 10 C,Anara,Vohitsaoka,Ambalavao,Haute Matsiatra
Ahatolahy 10 A,Soafandry,Anjoma Nandihizana,Manandriana,Amoron I Mania
Ahatsira 10 B,Antsira,Bekapaika,Tsaratanana,Betsiboka
Ahilabe 10 A,Ambohimitsinjo,Tsarahonenana,Befandriana Nord,Sofia
Ahiso 10 C,Aniso,Tsarazaza,Fandriana,Amoron I Mania
